Epoch [1/30], Train Loss: 1.8518, Train Accuracy: 0.2240, Valid Loss: 1.4460, Valid Accuracy: 0.3231
Epoch [2/30], Train Loss: 0.9788, Train Accuracy: 0.6339, Valid Loss: 0.8094, Valid Accuracy: 0.7177
Epoch [3/30], Train Loss: 0.5002, Train Accuracy: 0.8345, Valid Loss: 0.6010, Valid Accuracy: 0.8061
Epoch [4/30], Train Loss: 0.2831, Train Accuracy: 0.9065, Valid Loss: 0.5015, Valid Accuracy: 0.8401
Epoch [5/30], Train Loss: 0.1876, Train Accuracy: 0.9357, Valid Loss: 0.6215, Valid Accuracy: 0.8129
Epoch [6/30], Train Loss: 0.1623, Train Accuracy: 0.9513, Valid Loss: 0.7758, Valid Accuracy: 0.7993
Epoch [7/30], Train Loss: 0.1424, Train Accuracy: 0.9649, Valid Loss: 0.5468, Valid Accuracy: 0.8367
Epoch [8/30], Train Loss: 0.0794, Train Accuracy: 0.9747, Valid Loss: 0.6742, Valid Accuracy: 0.8435
Epoch [9/30], Train Loss: 0.0699, Train Accuracy: 0.9825, Valid Loss: 0.5983, Valid Accuracy: 0.8707
Epoch [10/30], Train Loss: 0.0842, Train Accuracy: 0.9776, Valid Loss: 0.6213, Valid Accuracy: 0.8605
Epoch [11/30], Train Loss: 0.0929, Train Accuracy: 0.9805, Valid Loss: 1.8138, Valid Accuracy: 0.6735
Epoch [12/30], Train Loss: 0.0577, Train Accuracy: 0.9844, Valid Loss: 0.8013, Valid Accuracy: 0.8741
Epoch [13/30], Train Loss: 0.0693, Train Accuracy: 0.9796, Valid Loss: 1.1479, Valid Accuracy: 0.8027
Epoch [14/30], Train Loss: 0.0554, Train Accuracy: 0.9805, Valid Loss: 1.0382, Valid Accuracy: 0.8129
Epoch [15/30], Train Loss: 0.1154, Train Accuracy: 0.9708, Valid Loss: 1.7046, Valid Accuracy: 0.6293
Epoch [16/30], Train Loss: 0.0759, Train Accuracy: 0.9688, Valid Loss: 0.9899, Valid Accuracy: 0.8503
Epoch [17/30], Train Loss: 0.0593, Train Accuracy: 0.9776, Valid Loss: 0.8078, Valid Accuracy: 0.8469
Epoch [18/30], Train Loss: 0.0699, Train Accuracy: 0.9757, Valid Loss: 0.7424, Valid Accuracy: 0.8707
Epoch [19/30], Train Loss: 0.0484, Train Accuracy: 0.9873, Valid Loss: 0.7713, Valid Accuracy: 0.8469
Epoch [20/30], Train Loss: 0.0350, Train Accuracy: 0.9864, Valid Loss: 0.7358, Valid Accuracy: 0.8707
Epoch [21/30], Train Loss: 0.0471, Train Accuracy: 0.9912, Valid Loss: 0.7128, Valid Accuracy: 0.8776
Epoch [22/30], Train Loss: 0.0486, Train Accuracy: 0.9864, Valid Loss: 0.8131, Valid Accuracy: 0.8537
Epoch [23/30], Train Loss: 0.0050, Train Accuracy: 1.0000, Valid Loss: 0.9894, Valid Accuracy: 0.8503
Epoch [24/30], Train Loss: 0.0187, Train Accuracy: 0.9971, Valid Loss: 0.9799, Valid Accuracy: 0.8673
Epoch [25/30], Train Loss: 0.0397, Train Accuracy: 0.9864, Valid Loss: 0.9316, Valid Accuracy: 0.8469
Epoch [26/30], Train Loss: 0.0519, Train Accuracy: 0.9912, Valid Loss: 1.1017, Valid Accuracy: 0.8503
Epoch [27/30], Train Loss: 0.0265, Train Accuracy: 0.9893, Valid Loss: 0.9366, Valid Accuracy: 0.8639
Epoch [28/30], Train Loss: 0.0216, Train Accuracy: 0.9961, Valid Loss: 0.8045, Valid Accuracy: 0.8844
Epoch [29/30], Train Loss: 0.0092, Train Accuracy: 0.9981, Valid Loss: 0.8862, Valid Accuracy: 0.8673
Epoch [30/30], Train Loss: 0.0036, Train Accuracy: 0.9981, Valid Loss: 1.0116, Valid Accuracy: 0.8776
